context,triplets
Biden has pledged to stop border wall construction and give amnesty and health care to all illegal immigrants.,<triplet> pledged <subj> give <obj> enable
"On the question asked at the interview with the National Association of Black Journalists and the National Association of Hispanic Journalists, on August 6, 2020 :
Should undocumented immigrants also be able to get subsidized healthcare?
Biden replied:
If they are working in the United States of America and they are paying taxes, they should have access to healthcare.",<triplet> they are working in the united states of america and they are paying <subj> taxes they should have access to healthcare <obj> cause
"Revenue is shared in accordance with the vertical formula, as determined by RMAFC and approved by the National Assembly. The formula allocates 52.68%, 26.72% and 20.60% to the Federal, State and Local Governments respectively",<triplet> formula <subj> allocates <obj> enable
"Eugenics is the practice or advocacy of improving the human species by selectively mating people with specific desirable hereditary traits. It aims to reduce human suffering by “breeding out” disease, disabilities and so-called undesirable characteristics from the human population",<triplet> breeding <subj> reduce <obj> intend
"Biden’s plan to end gun violence says ""It’s within our grasp to end our gun violence epidemic and respect the Second Amendment, which is limited,""",<triplet> plan <subj> end <obj> enable
Donald Trump inherited a stagnant economy and then rebuilt it.,<triplet> inherited <subj> rebuilt <obj> cause
The U.S. economy remained on a positive trend thanks to solid growth in consumption and broke the record for the longest expansion on record in July.,<triplet> growth <subj> trend <obj> cause
"In 2020, inflation-adjusted GDP was projected to grow by 2.2 percent, largely because of continued strength in consumer spending and a rebound in business fixed investment.",<triplet> rebound <subj> grow <obj> cause
A concurrent resolution authorizing the President of the United States to conduct military air operations and missile strikes against the Federal Republic of Yugoslavia (Serbia and Montenegro).,<triplet> resolution <subj> military <obj> enable
We actually saw revenues to the Treasury increase after we lowered taxes in 2017. Rest assured the Democrats do not want you to know that.,<triplet> we <subj> lowered taxes in 2017 increase <obj> cause
"Anxiety levels among young teenagers dropped during the coronavirus pandemic, a study has suggested",<triplet> coronavirus <subj> pandemic anxiety levels among young teenagers dropped <obj> cause
"The Kenya judiciary have one magistrate serving over 77,000 people.",<triplet> magistrate <subj> serving <obj> enable
The current Ghana administration has resulted in a decline in unemployment rates from 11.9% in 2015 to 7.3% in 2019.,<triplet> administration <subj> decline <obj> enable
Democratic Arizona Superintendent of Public Instruction Kathy Hoffman is “pushing” for sex education that would teach kindergartners about masturbation and sexual positions.,<triplet> pushing <subj> teach <obj> cause
"Kamala Harris said ""What else do we know about this population, 18 through 24? They are stupid. That is why we put them in dormitories. And they have a resident assistant. They make really bad decisions.""
It is true that she called the young people stupid no matter what the reason was.",<triplet> they <subj> have a resident assistant we put them in dormitories <obj> cause
"Yes although still in testing phase. 

1-second Covid spit test shown 95% accurate so far
Newsight’s spectral technology, currently being tried on patients at Sheba Medical Center, could revolutionize SARS-CoV-2 testing across the world.",<triplet> technology <subj> testing <obj> enable
Social Security checks do not go through the U.S. postal service since 2013 because it's not secure,<triplet> secure <subj> go <obj> cause
"There are two ways you can receive your benefits:

Into an existing bank account via Direct Deposit or
Onto a Direct Express® Debit Mastercard®",<triplet> direct deposit <subj> receive <obj> cause
"Pursuant to a new Federal regulation, as of March 1, 2013, the Treasury required almost all beneficiaries to receive payments through direct deposit, though paper checks are still available to some beneficiaries under limited circumstances.",<triplet> regulation <subj> receive <obj> enable
Donald Trump is trying to take away the health care by getting rid of the Affordable Care Act.,<triplet> getting rid <subj> take <obj> cause
Raising the US federally required minimum wage to $15 an hour would give 40 million workers a pay raise and push the wage scale up for everyone else.,<triplet> raising the us federally required minimum wage to $15 an hour <subj> give 40 million workers a pay raise and push the wage scale up for everyone else <obj> cause
"The EPI is an independent, nonprofit think tank that researches the impact of economic trends and policies on working people in the United States.",<triplet> think tank <subj> researches <obj> enable
"This Congressional Budget Office report was prepared in response to interest expressed by a
number of Members of Congress. In keeping with CBO’s mandate to provide objective, impartial
analysis, the report contains no recommendations.",<triplet> mandate <subj> report <obj> enable
"In an average week in 2025, the $15 option would boost the wages of
17 million workers who would otherwise earn less than $15 per hour. 
The wages of many of the 10 million workers
whose wages would be slightly above the new federal minimum would also increase.",<triplet> $15 option <subj> boost <obj> cause
"Drinking traditional Chinese medicine (TCM) or steroids, along with antibiotics at the onset of symptoms cures COVID-19.",<triplet> drinking <subj> cures <obj> enable
The Sarang Jeil Church of Jesus took preventative measure against coronavirus but the government spread the virus to prevent Rev. Jeon Kwang-hun attending the anti-government demonstration on August 15th.,<triplet> took preventative measure <subj> coronavirus <obj> prevent
"dividing 10,704 votes by 4,810 precincts leaves 2.23 votes per precinct.",<triplet> dividing <subj> leaves <obj> cause
President Donald Trump threatened to delay the election and suggested that he will not leave office if he loses.,<triplet> he <subj> loses he will not leave office <obj> cause
"Constitution empowers Congress to set the date by which states must choose their presidential electors, according to a March report by the nonpartisan Congressional Research Service.",<triplet> set <subj> choose <obj> enable
"Sweden, which does not require the wearing of masks in public, has had few deaths due to COVID-19","<triplet> covid-19 <subj> sweden, which does not require the wearing of masks in public, has had few deaths <obj> cause"
warm water is effective in curing joint pain,<triplet> warm water <subj> curing joint pain <obj> cause
warm water is effective in curing asthma,<triplet> warm water <subj> curing <obj> cause
UK Prime Minister Boris Johnson apologised for colonial rule in India.,<triplet> colonial rule in <subj> india uk prime minister boris johnson apologised <obj> cause
Late actor Sushant Singh Rajput developed an app which could detect Covid-19 infection just through a person's breathing.,<triplet> app <subj> detect <obj> enable
warm water is effective in curing migraine,<triplet> warm water <subj> curing <obj> cause
