,corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
0,atomic,id,0,0,intend_our_data_0_0,"PersonX abandons conventional career expectations altogether, intends to find a new job for him.","[""PersonX <ARG0>abandon</ARG0>s conventional career expectations altogether, intends to <ARG1>find</ARG1> a new job for him.""]",0
1,atomic,id,0,0,intend_our_data_0_0,"PersonX abandons traditional gender roles altogether, intends to support them.","[""PersonX <ARG0>abandon</ARG0>s traditional gender roles altogether, intends to <ARG1>support</ARG1> them.""]",0
2,atomic,id,0,0,cause_our_data_0_0,PersonX abandons conformity altogether cause Begins the process of change.,"[""PersonX <ARG0>abandon</ARG0>s conformity altogether cause <ARG1>begin</ARG1>s the process of change.""]",0
3,atomic,id,0,0,cause_our_data_0_0,"PersonX abandons outdated beliefs and practices altogether, causes a turnover to a more progressive and inclusive mindset.","[""PersonX <ARG0>abandon</ARG0>s outdated beliefs and practices altogether, causes a <ARG1>turn</ARG1>over to a more progressive and inclusive mindset.""]",0
4,atomic,id,0,0,intend_our_data_0_0,"PersonX abandons outdated business practices altogether, intends to put a stop to unethical exploitation.","[""PersonX <ARG0>abandon</ARG0>s outdated business practices altogether, intends to <ARG1>put</ARG1> a stop to unethical exploitation.""]",0
5,atomic,id,0,0,intend_our_data_0_0,PersonX abandons conventional farming practices altogether intends to sell his land.,"[""PersonX <ARG0>abandon</ARG0>s conventional farming practices altogether intends to <ARG1>sell</ARG1> his land.""]",0
7,atomic,id,0,0,intend_our_data_0_0,PersonX abandons conventional expectations altogether intend to start something new.,"[""PersonX <ARG0>abandon</ARG0>s conventional expectations altogether intend to <ARG1>start</ARG1> something new.""]",0
8,atomic,id,0,0,intend_our_data_0_0,PersonX abandons traditional expectations altogether intend to start fresh.,"[""PersonX <ARG0>abandon</ARG0>s traditional expectations altogether intend to <ARG1>start</ARG1> fresh.""]",0
9,atomic,id,0,0,intend_our_data_0_0,PersonX abandons conventional career path altogether intend to find a new job.,"[""PersonX <ARG0>abandon</ARG0>s conventional career path altogether intend to <ARG1>find</ARG1> a new job.""]",0
10,atomic,id,0,0,intend_our_data_0_0,PersonX abandons traditional lifestyle choices altogether intends to pursue alternative life paths as well.,"[""PersonX <ARG0>aban<ARG1>do</ARG1>n</ARG0>s traditional lifestyle choices altogether intends to pursue alternative life paths as well.""]",0
11,atomic,id,0,0,intend_our_data_0_0,"PersonX abandons traditional societal expectations altogether, intends to find something better.","[""PersonX <ARG0>abandon</ARG0>s traditional societal expectations altogether, intends to <ARG1>find</ARG1> something better.""]",0
13,atomic,id,0,0,cause_our_data_0_0,"PersonX abandons traditional societal norms and expectations altogether, seeking a different alternative for their search.","[""PersonX <ARG0>abandon</ARG0>s traditional societal norms and expectations altogether, seeking a different alternative for their <ARG1>search</ARG1>.""]",0
15,atomic,id,0,0,intend_our_data_0_0,"PersonX abandons traditional lifestyle altogether intends to find a new place, suggesting a desire for a fresh start or a change in personal circumstances.","[""PersonX <ARG0>abandon</ARG0>s traditional lifestyle altogether intends to <ARG1>find</ARG1> a new place, suggesting a desire for a fresh start or a change in personal circumstances.""]",0
16,atomic,id,0,0,intend_our_data_0_0,PersonX abandons the conventional career path altogether intends to find something else to do.,"[""PersonX <ARG0>abandon</ARG0>s the conventional career path altogether intends to <ARG1>find</ARG1> something else to do.""]",0
17,atomic,id,0,0,intend_our_data_0_0,PersonX abandons conventional wisdom altogether intends to do the project the best he can.,"[""PersonX <ARG0>aban<ARG1>do</ARG1>n</ARG0>s conventional wis<ARG1>do</ARG1>m altogether intends to <ARG1>do</ARG1> the project the best he can.""]",0
19,atomic,id,0,0,intend_our_data_0_0,"PersonX abolishes traditional societal norms and expectations altogether, intends to be free.","[""PersonX <ARG0>abolish</ARG0>es traditional societal norms and expectations altogether, intends to <ARG1>be</ARG1> free.""]",0
20,atomic,id,0,0,intend_our_data_0_0,"PersonX abolishes traditional societal norms and expectations altogether, intends to do things of their own wish.","[""PersonX <ARG0>abolish</ARG0>es traditional societal norms and expectations altogether, intends to <ARG1>do</ARG1> things of their own wish.""]",0
21,atomic,id,0,0,intend_our_data_0_0,"PersonX abolishes outdated social norms altogether, intending for things to change for the better.","[""PersonX <ARG0>abolish</ARG0>es outdated social norms altogether, intending for things to <ARG1>change</ARG1> for the better.""]",0
22,atomic,id,0,0,intend_our_data_0_0,"PersonX abolishes outdated legislation altogether, intending for there to be a better law.","[""PersonX <ARG0>abolish</ARG0>es outdated legislation altogether, intending for there to <ARG1>be</ARG1> a <ARG1>be</ARG1>tter law.""]",0
23,atomic,id,0,0,cause_our_data_0_0,"PersonX abolishes traditional family structures altogether, causing a radical change in their living arrangements and household dynamics.","[""PersonX <ARG0>abolish</ARG0>es traditional family structures altogether, causing a radical <ARG1>change</ARG1> in their living arrangements and household dynamics.""]",0
26,atomic,id,0,0,cause_our_data_0_0,"PersonX abolishes traditional gender roles altogether, causing person X to live a more authentic and fulfilling life.","[""PersonX <ARG0>abolish</ARG0>es traditional gender roles altogether, causing person X to <ARG1>live</ARG1> a more authentic and fulfilling life.""]",0
27,atomic,id,0,0,cause_our_data_0_0,"PersonX abolishes traditional power structures altogether, causing a shift towards more equitable and inclusive governance.","[""PersonX <ARG0>abolish</ARG0>es traditional power structures al<ARG1>to</ARG1>gether, causing a shift <ARG1>to</ARG1>wards more equitable and inclusive governance.""]",0
28,atomic,id,0,0,cause_our_data_0_0,"PersonX abolishes traditional power structures altogether, cause to gather voice.","[""PersonX <ARG0>abolish</ARG0>es traditional power structures al<ARG1>to</ARG1>gether, cause <ARG1>to</ARG1> gather voice.""]",0
29,atomic,id,0,0,intend_our_data_0_0,"PersonX abolishes oppressive structures altogether, intending for humans to be free.","[""PersonX <ARG0>abolish</ARG0>es oppressive structures altogether, intending for <ARG1>human</ARG1>s to be free.""]",0
30,atomic,id,0,0,intend_our_data_0_0,"PersonX abolishes outdated legislation altogether, intending to make a new law.","[""PersonX <ARG0>abolish</ARG0>es outdated legislation altogether, intending to <ARG1>make</ARG1> a new law.""]",0
31,atomic,id,0,0,intend_our_data_0_0,"PersonX abolishes outdated laws and regulations altogether, intending to change things for the better.","[""PersonX <ARG0>abolish</ARG0>es outdated laws and regulations altogether, intending to <ARG1>change</ARG1> things for the better.""]",0
32,atomic,id,0,0,intend_our_data_0_0,PersonX abolishes outdated laws and regulations in the states intend to celebrate.,"[""PersonX <ARG0>abolish</ARG0>es outdated laws and regulations in the states intend to <ARG1>celebrate</ARG1>.""]",0
33,atomic,id,0,0,intend_our_data_0_0,PersonX abolishes outdated legal frameworks in the states intend to write about the new law.,"[""PersonX <ARG0>abolish</ARG0>es outdated legal frameworks in the states intend to <ARG1>write</ARG1> about the new law.""]",0
35,atomic,id,0,0,intend_our_data_0_0,PersonX abolishes oppressive laws and regulations in the states intend to be free.,"[""PersonX <ARG0>abolish</ARG0>es oppressive laws and regulations in the states intend to <ARG1>be</ARG1> free.""]",0
40,atomic,id,0,0,intend_our_data_0_0,PersonX abolishes laws in the states intend to go good.,"[""PersonX <ARG0>abolish</ARG0>es laws in the states intend to <ARG1>go</ARG1> <ARG1>go</ARG1>od.""]",0
41,atomic,id,0,0,intend_our_data_0_0,PersonX abolishes traditional social norms in the states intend to make others happy,"[""PersonX <ARG0>abolish</ARG0>es traditional social norms in the states intend to <ARG1>make</ARG1> others happy""]",0
42,atomic,id,0,0,cause_our_data_0_0,"PersonX abolishes bureaucratic red tape altogether, causing the people to lose important documents.","[""PersonX <ARG0>abolish</ARG0>es bureaucratic red tape altogether, causing the people to <ARG1>lose</ARG1> important documents.""]",0
